instance_id,project,target_stable_branch,change_id,master_patch_url,stable_backport_url,same_files_modified,file_overlap_ratio,files_only_in_master,files_only_in_stable,master_lines_added,master_lines_removed,stable_lines_added,stable_lines_removed,diff_size_ratio,days_to_backport,only_iac,has_explicit_tests,master_patchsets,master_human_messages,master_human_reviewers,master_review_duration_days,master_review_hours,master_ci_failures,master_human_negative_votes,master_api_status,bp_patchsets,bp_human_messages,bp_human_reviewers,bp_review_duration_days,bp_review_hours,bp_ci_failures,bp_human_negative_votes,bp_api_status,backport_type
openstack-kolla-ansible-stable-2023.1-I6ad95a3,openstack/kolla-ansible,stable/2023.1,I6ad95a3618fc1a34af56657ef99ef14dc979f17a,https://review.opendev.org/c/openstack/kolla-ansible/+/890391,https://review.opendev.org/c/openstack/kolla-ansible/+/901069,True,1.0,,,60,11,60,11,1.0,84,False,False,6,14,3,22.51,540.36,12,0,ok,1,5,4,1.96,47.06,2,0,ok,Clean
openstack-kolla-ansible-stable-yoga-I6ad95a3,openstack/kolla-ansible,stable/yoga,I6ad95a3618fc1a34af56657ef99ef14dc979f17a,https://review.opendev.org/c/openstack/kolla-ansible/+/890391,https://review.opendev.org/c/openstack/kolla-ansible/+/901071,True,1.0,,,60,11,60,11,1.0,83,False,False,6,14,3,22.51,540.36,12,0,ok,3,4,4,1.39,33.38,1,0,ok,Clean
openstack-ansible-collection-kolla-stable-2023.1-Ide845a4,openstack/ansible-collection-kolla,stable/2023.1,Ide845a4108607765fb3fe772f9bd30db054e2c92,https://review.opendev.org/c/openstack/ansible-collection-kolla/+/892323,https://review.opendev.org/c/openstack/ansible-collection-kolla/+/892588,False,0.6667,zuul.d/project.yaml,,11,3,2,0,0.1429,0,False,False,8,10,4,2.02,48.48,8,0,ok,2,3,3,0.1,2.3,0,0,ok,Modified
openstack-kayobe-stable-xena-I2085f9d,openstack/kayobe,stable/xena,I2085f9d1fd457e5b54b17f37a5e725990a60e8bc,https://review.opendev.org/c/openstack/kayobe/+/887792,https://review.opendev.org/c/openstack/kayobe/+/892501,True,1.0,,,18,3,18,3,1.0,2,False,False,9,22,6,47.95,1150.91,9,1,ok,1,3,3,2.11,50.56,1,0,ok,Clean
openstack-kayobe-stable-2023.1-I2085f9d,openstack/kayobe,stable/2023.1,I2085f9d1fd457e5b54b17f37a5e725990a60e8bc,https://review.opendev.org/c/openstack/kayobe/+/887792,https://review.opendev.org/c/openstack/kayobe/+/892480,True,1.0,,,18,3,18,3,1.0,2,False,False,9,22,6,47.95,1150.91,9,1,ok,2,5,3,2.1,50.4,0,0,ok,Clean
openstack-kayobe-stable-zed-I2085f9d,openstack/kayobe,stable/zed,I2085f9d1fd457e5b54b17f37a5e725990a60e8bc,https://review.opendev.org/c/openstack/kayobe/+/887792,https://review.opendev.org/c/openstack/kayobe/+/892478,True,1.0,,,18,3,18,3,1.0,2,False,False,9,22,6,47.95,1150.91,9,1,ok,1,3,3,2.1,50.36,0,0,ok,Clean
openstack-kayobe-stable-yoga-I2085f9d,openstack/kayobe,stable/yoga,I2085f9d1fd457e5b54b17f37a5e725990a60e8bc,https://review.opendev.org/c/openstack/kayobe/+/887792,https://review.opendev.org/c/openstack/kayobe/+/892479,True,1.0,,,18,3,18,3,1.0,2,False,False,9,22,6,47.95,1150.91,9,1,ok,1,3,3,2.1,50.35,0,0,ok,Clean
openstack-puppet-glance-stable-2023.1-I41387f6,openstack/puppet-glance,stable/2023.1,I41387f67b647db7a96f975224b33112f3fa83ddd,https://review.opendev.org/c/openstack/puppet-glance/+/892259,https://review.opendev.org/c/openstack/puppet-glance/+/894262,True,1.0,,,31,55,31,55,1.0,17,False,False,1,2,2,0.48,11.6,0,0,ok,1,2,2,0.5,11.95,0,0,ok,Clean
openstack-python-manilaclient-stable-2023.1-I93d5a40,openstack/python-manilaclient,stable/2023.1,I93d5a400cd562a599309da0e5f0e92c8657b4265,https://review.opendev.org/c/openstack/python-manilaclient/+/891640,https://review.opendev.org/c/openstack/python-manilaclient/+/891748,True,1.0,,,1,1,1,1,1.0,6,True,False,1,1,2,0.72,17.39,1,0,ok,1,2,1,6.82,163.57,1,0,ok,Clean
openstack-openstack-ansible-os_keystone-stable-2023.1-I5732f91,openstack/openstack-ansible-os_keystone,stable/2023.1,I5732f9197902fccb96eb8537050849a1692d3725,https://review.opendev.org/c/openstack/openstack-ansible-os_keystone/+/891466,https://review.opendev.org/c/openstack/openstack-ansible-os_keystone/+/892098,True,1.0,,,14,14,14,14,1.0,4,False,False,1,2,2,1.94,46.56,0,0,ok,3,1,1,0.84,20.16,0,0,ok,Clean
